address,company_name,country,phone,contact_title,contact_name,fax,city,postal_code,customer_id,region
Obere Str. 57,Alfreds Futterkiste,Germany,030-0074321,Sales Representative,Maria Anders,030-0076545,Berlin,12209,ALFKI,SP
Avda. de la Constitución 2222,Ana Trujillo Emparedados y helados,Mexico,(5) 555-4729,Owner,Ana Trujillo,(5) 555-3745,México D.F.,05021,ANATR,SP
Mataderos  2312,Antonio Moreno Taquería,Mexico,(5) 555-3932,Owner,Antonio Moreno,(02) 201 24 68,México D.F.,05023,ANTON,SP
120 Hanover Sq.,Around the Horn,UK,(171) 555-7788,Sales Representative,Thomas Hardy,(171) 555-6750,London,WA1 1DP,AROUT,SP
Berguvsvägen  8,Berglunds snabbköp,Sweden,0921-12 34 65,Order Administrator,Christina Berglund,0921-12 34 67,Luleå,S-958 22,BERGS,SP
Forsterstr. 57,Blauer See Delikatessen,Germany,0621-08460,Sales Representative,Hanna Moos,0621-08924,Mannheim,68306,BLAUS,SP
"24, place Kléber",Blondesddsl père et fils,France,88.60.15.31,Marketing Manager,Frédérique Citeaux,88.60.15.32,Strasbourg,67000,BLONP,SP
"C/ Araquil, 67",Bólido Comidas preparadas,Spain,(91) 555 22 82,Owner,Martín Sommer,(91) 555 91 99,Madrid,28023,BOLID,SP
"12, rue des Bouchers",Bon app',France,91.24.45.40,Owner,Laurence Lebihan,91.24.45.41,Marseille,13008,BONAP,SP
23 Tsawassen Blvd.,Bottom-Dollar Markets,Canada,(604) 555-4729,Accounting Manager,Elizabeth Lincoln,(604) 555-3745,Tsawassen,T2F 8M4,BOTTM,BC
Fauntleroy Circus,B's Beverages,UK,(171) 555-1212,Sales Representative,Victoria Ashworth,(02) 201 24 68,London,EC2 5NT,BSBEV,SP
Cerrito 333,Cactus Comidas para llevar,Argentina,(1) 135-5555,Sales Agent,Patricio Simpson,(1) 135-4892,Buenos Aires,1010,CACTU,SP
Sierras de Granada 9993,Centro comercial Moctezuma,Mexico,(5) 555-3392,Marketing Manager,Francisco Chang,(5) 555-7293,México D.F.,05022,CENTC,SP
Hauptstr. 29,Chop-suey Chinese,Switzerland,0452-076545,Owner,Yang Wang,(02) 201 24 68,Bern,3012,CHOPS,SP
"Av. dos Lusíadas, 23",Comércio Mineiro,Brazil,(11) 555-7647,Sales Associate,Pedro Afonso,(02) 201 24 68,Sao Paulo,05432-043,COMMI,SP
Berkeley Gardens 12  Brewery,Consolidated Holdings,UK,(171) 555-2282,Sales Representative,Elizabeth Brown,(171) 555-9199,London,WX1 6LT,CONSH,SP
Walserweg 21,Drachenblut Delikatessen,Germany,0241-039123,Order Administrator,Sven Ottlieb,0241-059428,Aachen,52066,DRACD,SP
"67, rue des Cinquante Otages",Du monde entier,France,40.67.88.88,Owner,Janine Labrune,40.67.89.89,Nantes,44000,DUMON,SP
35 King George,Eastern Connection,UK,(171) 555-0297,Sales Agent,Ann Devon,(171) 555-3373,London,WX3 6FW,EASTC,SP
Kirchgasse 6,Ernst Handel,Austria,7675-3425,Sales Manager,Roland Mendel,7675-3426,Graz,8010,ERNSH,SP
"Rua Orós, 92",Familia Arquibaldo,Brazil,(11) 555-9857,Marketing Assistant,Aria Cruz,(02) 201 24 68,Sao Paulo,05442-030,FAMIA,SP
"C/ Moralzarzal, 86",FISSA Fabrica Inter. Salchichas S.A.,Spain,(91) 555 94 44,Accounting Manager,Diego Roel,(91) 555 55 93,Madrid,28034,FISSA,SP
"184, chaussée de Tournai",Folies gourmandes,France,20.16.10.16,Assistant Sales Agent,Martine Rancé,20.16.10.17,Lille,59000,FOLIG,SP
Åkergatan 24,Folk och fä HB,Sweden,0695-34 67 21,Owner,Maria Larsson,(02) 201 24 68,Bräcke,S-844 67,FOLKO,SP
Berliner Platz 43,Frankenversand,Germany,089-0877310,Marketing Manager,Peter Franken,089-0877451,München,80805,FRANK,SP
"54, rue Royale",France restauration,France,40.32.21.21,Marketing Manager,Carine Schmitt,40.32.21.20,Nantes,44000,FRANR,SP
Via Monte Bianco 34,Franchi S.p.A.,Italy,011-4988260,Sales Representative,Paolo Accorti,011-4988261,Torino,10100,FRANS,SP
Jardim das rosas n. 32,Furia Bacalhau e Frutos do Mar,Portugal,(1) 354-2534,Sales Manager,Lino Rodriguez,(1) 354-2535,Lisboa,1675,FURIB,SP
"Rambla de Cataluña, 23",Galería del gastrónomo,Spain,(93) 203 4560,Marketing Manager,Eduardo Saavedra,(93) 203 4561,Barcelona,08022,GALED,SP
"C/ Romero, 33",Godos Cocina Típica,Spain,(95) 555 82 82,Sales Manager,José Pedro Freyre,(02) 201 24 68,Sevilla,41101,GODOS,SP
"Av. Brasil, 442",Gourmet Lanchonetes,Brazil,(11) 555-9482,Sales Associate,André Fonseca,(02) 201 24 68,Campinas,04876-786,GOURL,SP
2732 Baker Blvd.,Great Lakes Food Market,USA,(503) 555-7555,Marketing Manager,Howard Snyder,(02) 201 24 68,Eugene,97403,GREAL,OR
5ª Ave. Los Palos Grandes,GROSELLA-Restaurante,Venezuela,(2) 283-2951,Owner,Manuel Pereira,(2) 283-3397,Caracas,1081,GROSR,DF
"Rua do Paço, 67",Hanari Carnes,Brazil,(21) 555-0091,Accounting Manager,Mario Pontes,(21) 555-8765,Rio de Janeiro,05454-876,HANAR,RJ
Carrera 22 con Ave. Carlos Soublette #8-35,HILARION-Abastos,Venezuela,(5) 555-1340,Sales Representative,Carlos Hernández,(5) 555-1948,San Cristóbal,5022,HILAA,Táchira
City Center Plaza 516 Main St.,Hungry Coyote Import Store,USA,(503) 555-6874,Sales Representative,Yoshi Latimer,(503) 555-2376,Elgin,97827,HUNGC,OR
8 Johnstown Road,Hungry Owl All-Night Grocers,Ireland,2967 542,Sales Associate,Patricia McKenna,2967 3333,Cork,1010,HUNGO,Co. Cork
Garden House Crowther Way,Island Trading,UK,(198) 555-8888,Marketing Manager,Helen Bennett,(02) 201 24 68,Cowes,PO31 7PJ,ISLAT,Isle of Wight
Maubelstr. 90,Königlich Essen,Germany,0555-09876,Sales Associate,Philip Cramer,(02) 201 24 68,Brandenburg,14776,KOENE,SP
"67, avenue de l'Europe",La corne d'abondance,France,30.59.84.10,Sales Representative,Daniel Tonini,30.59.85.11,Versailles,78000,LACOR,SP
1 rue Alsace-Lorraine,La maison d'Asie,France,61.77.61.10,Sales Manager,Annette Roulet,61.77.61.11,Toulouse,31000,LAMAI,SP
1900 Oak St.,Laughing Bacchus Wine Cellars,Canada,(604) 555-3392,Marketing Assistant,Yoshi Tannamuri,(604) 555-7293,Vancouver,V3F 2K1,LAUGB,BC
12 Orchestra Terrace,Lazy K Kountry Store,USA,(509) 555-7969,Marketing Manager,John Steel,(509) 555-6221,Walla Walla,99362,LAZYK,WA
Magazinweg 7,Lehmanns Marktstand,Germany,069-0245984,Sales Representative,Renate Messner,069-0245874,Frankfurt a.M.,60528,LEHMS,SP
