city,country,region
Berlin,Germany,SP
México D.F.,Mexico,SP
London,UK,SP
Luleå,Sweden,SP
Mannheim,Germany,SP
Strasbourg,France,SP
Madrid,Spain,SP
Marseille,France,SP
Tsawassen,Canada,BC
Buenos Aires,Argentina,SP
Bern,Switzerland,SP
Sao Paulo,Brazil,SP
Aachen,Germany,SP
Nantes,France,SP
Graz,Austria,SP
Lille,France,SP
Bräcke,Sweden,SP
München,Germany,SP
Torino,Italy,SP
Lisboa,Portugal,SP
Barcelona,Spain,SP
Sevilla,Spain,SP
Campinas,Brazil,SP
Eugene,USA,OR
Caracas,Venezuela,DF
Rio de Janeiro,Brazil,RJ
San Cristóbal,Venezuela,Táchira
Elgin,USA,OR
Cork,Ireland,Co. Cork
Cowes,UK,Isle of Wight
Brandenburg,Germany,SP
Versailles,France,SP
Toulouse,France,SP
Vancouver,Canada,BC
Walla Walla,USA,WA
Frankfurt a.M.,Germany,SP
San Francisco,USA,CA
Barquisimeto,Venezuela,Lara
I. de Margarita,Venezuela,Nueva Esparta
Portland,USA,OR
Bergamo,Italy,SP
Bruxelles,Belgium,SP
Montréal,Canada,Québec
Leipzig,Germany,SP
Anchorage,USA,AK
Köln,Germany,SP
Paris,France,SP
Salzburg,Austria,SP
Cunewalde,Germany,SP
Albuquerque,USA,NM
Reggio Emilia,Italy,SP
Genève,Switzerland,SP
Stavern,Norway,SP
Boise,USA,ID
Kobenhavn,Denmark,SP
Lander,USA,WY
Charleroi,Belgium,SP
Butte,USA,MT
Münster,Germany,SP
Kirkland,USA,WA
Århus,Denmark,SP
Lyon,France,SP
Reims,France,SP
Stuttgart,Germany,SP
Oulu,Finland,SP
Resende,Brazil,SP
Seattle,USA,WA
Helsinki,Finland,SP
Warszawa,Poland,SP
