order_id,ship_postal_code,ship_address,freight,order_date,ship_region,ship_city,shipped_date,ship_name,employee_id,ship_country,required_date,customer_id,ship_via
10248,51100,59 rue de l'Abbaye,32.3800011,1996-07-04,SP,Reims,1996-07-16,Vins et alcools Chevalier,5,France,1996-08-01,VINET,3
10249,44087,Luisenstr. 48,11.6099997,1996-07-05,SP,Münster,1996-07-10,Toms Spezialitäten,6,Germany,1996-08-16,TOMSP,1
10250,05454-876,"Rua do Paço, 67",65.8300018,1996-07-08,RJ,Rio de Janeiro,1996-07-12,Hanari Carnes,4,Brazil,1996-08-05,HANAR,2
10251,69004,"2, rue du Commerce",41.3400002,1996-07-08,SP,Lyon,1996-07-15,Victuailles en stock,3,France,1996-08-05,VICTE,1
10252,B-6000,"Boulevard Tirou, 255",51.2999992,1996-07-09,SP,Charleroi,1996-07-11,Suprêmes délices,4,Belgium,1996-08-06,SUPRD,2
10253,05454-876,"Rua do Paço, 67",58.1699982,1996-07-10,RJ,Rio de Janeiro,1996-07-16,Hanari Carnes,3,Brazil,1996-07-24,HANAR,2
10254,3012,Hauptstr. 31,22.9799995,1996-07-11,SP,Bern,1996-07-23,Chop-suey Chinese,5,Switzerland,1996-08-08,CHOPS,2
10255,1204,Starenweg 5,148.330002,1996-07-12,SP,Genève,1996-07-15,Richter Supermarkt,9,Switzerland,1996-08-09,RICSU,3
10256,08737-363,"Rua do Mercado, 12",13.9700003,1996-07-15,SP,Resende,1996-07-17,Wellington Importadora,3,Brazil,1996-08-12,WELLI,2
10257,5022,Carrera 22 con Ave. Carlos Soublette #8-35,81.9100037,1996-07-16,Táchira,San Cristóbal,1996-07-22,HILARION-Abastos,4,Venezuela,1996-08-13,HILAA,3
10258,8010,Kirchgasse 6,140.509995,1996-07-17,SP,Graz,1996-07-23,Ernst Handel,1,Austria,1996-08-14,ERNSH,1
10259,05022,Sierras de Granada 9993,3.25,1996-07-18,SP,México D.F.,1996-07-25,Centro comercial Moctezuma,4,Mexico,1996-08-15,CENTC,3
10260,50739,Mehrheimerstr. 369,55.0900002,1996-07-19,SP,Köln,1996-07-29,Ottilies Käseladen,4,Germany,1996-08-16,OTTIK,1
10261,02389-673,"Rua da Panificadora, 12",3.04999995,1996-07-19,RJ,Rio de Janeiro,1996-07-30,Que Delícia,4,Brazil,1996-08-16,QUEDE,2
10262,87110,2817 Milton Dr.,48.2900009,1996-07-22,NM,Albuquerque,1996-07-25,Rattlesnake Canyon Grocery,8,USA,1996-08-19,RATTC,3
10263,8010,Kirchgasse 6,146.059998,1996-07-23,SP,Graz,1996-07-31,Ernst Handel,9,Austria,1996-08-20,ERNSH,3
10264,S-844 67,Åkergatan 24,3.67000008,1996-07-24,SP,Bräcke,1996-08-23,Folk och fä HB,6,Sweden,1996-08-21,FOLKO,3
10265,67000,"24, place Kléber",55.2799988,1996-07-25,SP,Strasbourg,1996-08-12,Blondel père et fils,2,France,1996-08-22,BLONP,1
10266,90110,Torikatu 38,25.7299995,1996-07-26,SP,Oulu,1996-07-31,Wartian Herkku,3,Finland,1996-09-06,WARTH,3
10267,80805,Berliner Platz 43,208.580002,1996-07-29,SP,München,1996-08-06,Frankenversand,4,Germany,1996-08-26,FRANK,1
10268,1081,5ª Ave. Los Palos Grandes,66.2900009,1996-07-30,DF,Caracas,1996-08-02,GROSELLA-Restaurante,8,Venezuela,1996-08-27,GROSR,3
10269,98124,1029 - 12th Ave. S.,4.55999994,1996-07-31,WA,Seattle,1996-08-09,White Clover Markets,5,USA,1996-08-14,WHITC,1
10270,90110,Torikatu 38,136.539993,1996-08-01,SP,Oulu,1996-08-02,Wartian Herkku,1,Finland,1996-08-29,WARTH,1
10271,82520,P.O. Box 555,4.53999996,1996-08-01,WY,Lander,1996-08-30,Split Rail Beer & Ale,6,USA,1996-08-29,SPLIR,2
10272,87110,2817 Milton Dr.,98.0299988,1996-08-02,NM,Albuquerque,1996-08-06,Rattlesnake Canyon Grocery,6,USA,1996-08-30,RATTC,2
10273,01307,Taucherstraße 10,76.0699997,1996-08-05,SP,Cunewalde,1996-08-12,QUICK-Stop,3,Germany,1996-09-02,QUICK,3
10274,51100,59 rue de l'Abbaye,6.01000023,1996-08-06,SP,Reims,1996-08-16,Vins et alcools Chevalier,6,France,1996-09-03,VINET,1
10275,24100,Via Ludovico il Moro 22,26.9300003,1996-08-07,SP,Bergamo,1996-08-09,Magazzini Alimentari Riuniti,1,Italy,1996-09-04,MAGAA,1
10276,05033,Avda. Azteca 123,13.8400002,1996-08-08,SP,México D.F.,1996-08-14,Tortuga Restaurante,8,Mexico,1996-08-22,TORTU,3
10277,04179,Heerstr. 22,125.769997,1996-08-09,SP,Leipzig,1996-08-13,Morgenstern Gesundkost,2,Germany,1996-09-06,MORGK,3
10278,S-958 22,Berguvsvägen  8,92.6900024,1996-08-12,SP,Luleå,1996-08-16,Berglunds snabbköp,8,Sweden,1996-09-09,BERGS,2
10279,60528,Magazinweg 7,25.8299999,1996-08-13,SP,Frankfurt a.M.,1996-08-16,Lehmanns Marktstand,8,Germany,1996-09-10,LEHMS,2
10280,S-958 22,Berguvsvägen  8,8.97999954,1996-08-14,SP,Luleå,1996-09-12,Berglunds snabbköp,2,Sweden,1996-09-11,BERGS,1
10281,28001,"Gran Vía, 1",2.94000006,1996-08-14,SP,Madrid,1996-08-21,Romero y tomillo,4,Spain,1996-08-28,ROMEY,1
10282,28001,"Gran Vía, 1",12.6899996,1996-08-15,SP,Madrid,1996-08-21,Romero y tomillo,4,Spain,1996-09-12,ROMEY,1
10283,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,84.8099976,1996-08-16,Lara,Barquisimeto,1996-08-23,LILA-Supermercado,3,Venezuela,1996-09-13,LILAS,3
10284,60528,Magazinweg 7,76.5599976,1996-08-19,SP,Frankfurt a.M.,1996-08-27,Lehmanns Marktstand,4,Germany,1996-09-16,LEHMS,1
10285,01307,Taucherstraße 10,76.8300018,1996-08-20,SP,Cunewalde,1996-08-26,QUICK-Stop,1,Germany,1996-09-17,QUICK,2
10286,01307,Taucherstraße 10,229.240005,1996-08-21,SP,Cunewalde,1996-08-30,QUICK-Stop,8,Germany,1996-09-18,QUICK,3
10287,02389-890,"Av. Copacabana, 267",12.7600002,1996-08-22,RJ,Rio de Janeiro,1996-08-28,Ricardo Adocicados,8,Brazil,1996-09-19,RICAR,3
10288,42100,Strada Provinciale 124,7.44999981,1996-08-23,SP,Reggio Emilia,1996-09-03,Reggiani Caseifici,4,Italy,1996-09-20,REGGC,1
10289,EC2 5NT,Fauntleroy Circus,22.7700005,1996-08-26,SP,London,1996-08-28,B's Beverages,7,UK,1996-09-23,BSBEV,3
10290,05432-043,"Av. dos Lusíadas, 23",79.6999969,1996-08-27,SP,Sao Paulo,1996-09-03,Comércio Mineiro,8,Brazil,1996-09-24,COMMI,1
10291,02389-673,"Rua da Panificadora, 12",6.4000001,1996-08-27,RJ,Rio de Janeiro,1996-09-04,Que Delícia,6,Brazil,1996-09-24,QUEDE,2
10292,05634-030,"Av. Inês de Castro, 414",1.35000002,1996-08-28,SP,Sao Paulo,1996-09-02,Tradiçao Hipermercados,1,Brazil,1996-09-25,TRADH,2
10293,05033,Avda. Azteca 123,21.1800003,1996-08-29,SP,México D.F.,1996-09-11,Tortuga Restaurante,1,Mexico,1996-09-26,TORTU,3
10294,87110,2817 Milton Dr.,147.259995,1996-08-30,NM,Albuquerque,1996-09-05,Rattlesnake Canyon Grocery,4,USA,1996-09-27,RATTC,2
10295,51100,59 rue de l'Abbaye,1.14999998,1996-09-02,SP,Reims,1996-09-10,Vins et alcools Chevalier,2,France,1996-09-30,VINET,2
10296,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,0.119999997,1996-09-03,Lara,Barquisimeto,1996-09-11,LILA-Supermercado,6,Venezuela,1996-10-01,LILAS,1
10297,67000,"24, place Kléber",5.73999977,1996-09-04,SP,Strasbourg,1996-09-10,Blondel père et fils,5,France,1996-10-16,BLONP,2
10298,83720,8 Johnstown Road,168.220001,1996-09-05,Co. Cork,Cork,1996-09-11,Hungry Owl All-Night Grocers,6,Ireland,1996-10-03,HUNGO,2
10299,02389-890,"Av. Copacabana, 267",29.7600002,1996-09-06,RJ,Rio de Janeiro,1996-09-13,Ricardo Adocicados,4,Brazil,1996-10-04,RICAR,2
10300,24100,Via Ludovico il Moro 22,17.6800003,1996-09-09,SP,Bergamo,1996-09-18,Magazzini Alimentari Riuniti,2,Italy,1996-10-07,MAGAA,2
10301,70563,Adenauerallee 900,45.0800018,1996-09-09,SP,Stuttgart,1996-09-17,Die Wandernde Kuh,8,Germany,1996-10-07,WANDK,2
10302,B-6000,"Boulevard Tirou, 255",6.26999998,1996-09-10,SP,Charleroi,1996-10-09,Suprêmes délices,4,Belgium,1996-10-08,SUPRD,2
10303,41101,"C/ Romero, 33",107.830002,1996-09-11,SP,Sevilla,1996-09-18,Godos Cocina Típica,7,Spain,1996-10-09,GODOS,2
10304,05033,Avda. Azteca 123,63.7900009,1996-09-12,SP,México D.F.,1996-09-17,Tortuga Restaurante,1,Mexico,1996-10-10,TORTU,2
10305,99508,2743 Bering St.,257.619995,1996-09-13,AK,Anchorage,1996-10-09,Old World Delicatessen,8,USA,1996-10-11,OLDWO,3
10306,28001,"Gran Vía, 1",7.55999994,1996-09-16,SP,Madrid,1996-09-23,Romero y tomillo,1,Spain,1996-10-14,ROMEY,3
10307,97219,89 Chiaroscuro Rd.,0.560000002,1996-09-17,OR,Portland,1996-09-25,Lonesome Pine Restaurant,2,USA,1996-10-15,LONEP,2
10308,05021,Avda. de la Constitución 2222,1.61000001,1996-09-18,SP,México D.F.,1996-09-24,Ana Trujillo Emparedados y helados,7,Mexico,1996-10-16,ANATR,3
10309,83720,8 Johnstown Road,47.2999992,1996-09-19,Co. Cork,Cork,1996-10-23,Hungry Owl All-Night Grocers,3,Ireland,1996-10-17,HUNGO,1
10310,97201,89 Jefferson Way Suite 2,17.5200005,1996-09-20,OR,Portland,1996-09-27,The Big Cheese,8,USA,1996-10-18,THEBI,2
10311,44000,"67, rue des Cinquante Otages",24.6900005,1996-09-20,SP,Nantes,1996-09-26,Du monde entier,1,France,1996-10-04,DUMON,3
