address,company_name,country,supplier_id,phone,contact_title,contact_name,fax,homepage,city,postal_code,region
49 Gilbert St.,Exotic Liquids,UK,1,(171) 555-2222,Purchasing Manager,Charlotte Cooper,(02) 555-4873,#CAJUN.HTM#,London,EC1 4SD,Québec
P.O. Box 78934,New Orleans Cajun Delights,USA,2,(100) 555-4822,Order Administrator,Shelley Burke,(02) 555-4873,#CAJUN.HTM#,New Orleans,70117,LA
707 Oxford Rd.,Grandma Kelly's Homestead,USA,3,(313) 555-5735,Sales Representative,Regina Murphy,(313) 555-3349,#CAJUN.HTM#,Ann Arbor,48104,MI
9-8 Sekimai Musashino-shi,Tokyo Traders,Japan,4,(03) 3555-5011,Marketing Manager,Yoshi Nagase,(02) 555-4873,#CAJUN.HTM#,Tokyo,100,Québec
Calle del Rosal 4,Cooperativa de Quesos 'Las Cabras',Spain,5,(98) 598 76 54,Export Administrator,Antonio del Valle Saavedra,(02) 555-4873,#CAJUN.HTM#,Oviedo,33007,Asturias
92 Setsuko Chuo-ku,Mayumi's,Japan,6,(06) 431-7877,Marketing Representative,Mayumi Ohno,(02) 555-4873,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#,Osaka,545,Québec
74 Rose St. Moonie Ponds,"Pavlova, Ltd.",Australia,7,(03) 444-2343,Marketing Manager,Ian Devling,(03) 444-6588,#CAJUN.HTM#,Melbourne,3058,Victoria
29 King's Way,"Specialty Biscuits, Ltd.",UK,8,(161) 555-4448,Sales Representative,Peter Wilson,(02) 555-4873,#CAJUN.HTM#,Manchester,M14 GSD,Québec
Kaloadagatan 13,PB Knäckebröd AB,Sweden,9,031-987 65 43,Sales Agent,Lars Peterson,031-987 65 91,#CAJUN.HTM#,Göteborg,S-345 67,Québec
Av. das Americanas 12.890,Refrescos Americanas LTDA,Brazil,10,(11) 555 4640,Marketing Manager,Carlos Diaz,(02) 555-4873,#CAJUN.HTM#,Sao Paulo,5442,Québec
Tiergartenstraße 5,Heli Süßwaren GmbH & Co. KG,Germany,11,(010) 9984510,Sales Manager,Petra Winkler,(02) 555-4873,#CAJUN.HTM#,Berlin,10785,Québec
Bogenallee 51,Plutzer Lebensmittelgroßmärkte AG,Germany,12,(069) 992755,International Marketing Mgr.,Martin Bein,(02) 555-4873,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Frankfurt,60439,Québec
Frahmredder 112a,Nord-Ost-Fisch Handelsgesellschaft mbH,Germany,13,(04721) 8713,Coordinator Foreign Markets,Sven Petersen,(04721) 8714,#CAJUN.HTM#,Cuxhaven,27478,Québec
"Viale Dante, 75",Formaggi Fortini s.r.l.,Italy,14,(0544) 60323,Sales Representative,Elio Rossi,(0544) 60603,#FORMAGGI.HTM#,Ravenna,48100,Québec
Hatlevegen 5,Norske Meierier,Norway,15,(0)2-953010,Marketing Manager,Beate Vileid,(02) 555-4873,#CAJUN.HTM#,Sandvika,1320,Québec
3400 - 8th Avenue Suite 210,Bigfoot Breweries,USA,16,(503) 555-9931,Regional Account Rep.,Cheryl Saylor,(02) 555-4873,#CAJUN.HTM#,Bend,97101,OR
Brovallavägen 231,Svensk Sjöföda AB,Sweden,17,08-123 45 67,Sales Representative,Michael Björn,(02) 555-4873,#CAJUN.HTM#,Stockholm,S-123 45,Québec
"203, Rue des Francs-Bourgeois",Aux joyeux ecclésiastiques,France,18,(1) 03.83.00.68,Sales Manager,Guylène Nodier,(1) 03.83.00.62,#CAJUN.HTM#,Paris,75004,Québec
Order Processing Dept. 2100 Paul Revere Blvd.,New England Seafood Cannery,USA,19,(617) 555-3267,Wholesale Account Agent,Robb Merchant,(617) 555-3389,#CAJUN.HTM#,Boston,02134,MA
"471 Serangoon Loop, Suite #402",Leka Trading,Singapore,20,555-8787,Owner,Chandra Leka,(02) 555-4873,#CAJUN.HTM#,Singapore,0512,Québec
Lyngbysild Fiskebakken 10,Lyngbysild,Denmark,21,43844108,Sales Manager,Niels Petersen,43844115,#CAJUN.HTM#,Lyngby,2800,Québec
Verkoop Rijnweg 22,Zaanse Snoepfabriek,Netherlands,22,(12345) 1212,Accounting Manager,Dirk Luchte,(12345) 1210,#CAJUN.HTM#,Zaandam,9999 ZZ,Québec
Valtakatu 12,Karkki Oy,Finland,23,(953) 10956,Product Manager,Anne Heikkonen,(02) 555-4873,#CAJUN.HTM#,Lappeenranta,53120,Québec
170 Prince Edward Parade Hunter's Hill,"G'day, Mate",Australia,24,(02) 555-5914,Sales Representative,Wendy Mackenzie,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,Sydney,2042,NSW
2960 Rue St. Laurent,Ma Maison,Canada,25,(514) 555-9022,Marketing Manager,Jean-Guy Lauzon,(02) 555-4873,#CAJUN.HTM#,Montréal,H1J 1C3,Québec
"Via dei Gelsomini, 153",Pasta Buttini s.r.l.,Italy,26,(089) 6547665,Order Administrator,Giovanni Giudici,(089) 6547667,#CAJUN.HTM#,Salerno,84100,Québec
"22, rue H. Voiron",Escargots Nouveaux,France,27,85.57.00.07,Sales Manager,Marie Delamare,(02) 555-4873,#CAJUN.HTM#,Montceau,71300,Québec
"Bat. B 3, rue des Alpes",Gai pâturage,France,28,38.76.98.06,Sales Representative,Eliane Noz,38.76.98.58,#CAJUN.HTM#,Annecy,74000,Québec
148 rue Chasseur,Forêts d'érables,Canada,29,(514) 555-2955,Accounting Manager,Chantal Goulet,(514) 555-2921,#CAJUN.HTM#,Ste-Hyacinthe,J2S 7S8,Québec
