company_name,country,supplier_id,phone,contact_title,contact_name,fax,address,city,homepage,postal_code,region
Exotic Liquids,UK,1,(171) 555-2222,Purchasing Manager,Charlotte Cooper,(02) 555-4873,49 Gilbert St.,London,#CAJUN.HTM#,EC1 4SD,Québec
New Orleans Cajun Delights,USA,2,(100) 555-4822,Order Administrator,Shelley Burke,(02) 555-4873,P.O. Box 78934,New Orleans,#CAJUN.HTM#,70117,LA
Grandma Kelly's Homestead,USA,3,(313) 555-5735,Sales Representative,Regina Murphy,(313) 555-3349,707 Oxford Rd.,Ann Arbor,#CAJUN.HTM#,48104,MI
Tokyo Traders,Japan,4,(03) 3555-5011,Marketing Manager,Yoshi Nagase,(02) 555-4873,9-8 Sekimai Musashino-shi,Tokyo,#CAJUN.HTM#,100,Québec
Cooperativa de Quesos 'Las Cabras',Spain,5,(98) 598 76 54,Export Administrator,Antonio del Valle Saavedra,(02) 555-4873,Calle del Rosal 4,Oviedo,#CAJUN.HTM#,33007,Asturias
Mayumi's,Japan,6,(06) 431-7877,Marketing Representative,Mayumi Ohno,(02) 555-4873,92 Setsuko Chuo-ku,Osaka,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#,545,Québec
"Pavlova, Ltd.",Australia,7,(03) 444-2343,Marketing Manager,Ian Devling,(03) 444-6588,74 Rose St. Moonie Ponds,Melbourne,#CAJUN.HTM#,3058,Victoria
"Specialty Biscuits, Ltd.",UK,8,(161) 555-4448,Sales Representative,Peter Wilson,(02) 555-4873,29 King's Way,Manchester,#CAJUN.HTM#,M14 GSD,Québec
PB Knäckebröd AB,Sweden,9,031-987 65 43,Sales Agent,Lars Peterson,031-987 65 91,Kaloadagatan 13,Göteborg,#CAJUN.HTM#,S-345 67,Québec
Refrescos Americanas LTDA,Brazil,10,(11) 555 4640,Marketing Manager,Carlos Diaz,(02) 555-4873,Av. das Americanas 12.890,Sao Paulo,#CAJUN.HTM#,5442,Québec
Heli Süßwaren GmbH & Co. KG,Germany,11,(010) 9984510,Sales Manager,Petra Winkler,(02) 555-4873,Tiergartenstraße 5,Berlin,#CAJUN.HTM#,10785,Québec
Plutzer Lebensmittelgroßmärkte AG,Germany,12,(069) 992755,International Marketing Mgr.,Martin Bein,(02) 555-4873,Bogenallee 51,Frankfurt,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,60439,Québec
Nord-Ost-Fisch Handelsgesellschaft mbH,Germany,13,(04721) 8713,Coordinator Foreign Markets,Sven Petersen,(04721) 8714,Frahmredder 112a,Cuxhaven,#CAJUN.HTM#,27478,Québec
Formaggi Fortini s.r.l.,Italy,14,(0544) 60323,Sales Representative,Elio Rossi,(0544) 60603,"Viale Dante, 75",Ravenna,#FORMAGGI.HTM#,48100,Québec
Norske Meierier,Norway,15,(0)2-953010,Marketing Manager,Beate Vileid,(02) 555-4873,Hatlevegen 5,Sandvika,#CAJUN.HTM#,1320,Québec
Bigfoot Breweries,USA,16,(503) 555-9931,Regional Account Rep.,Cheryl Saylor,(02) 555-4873,3400 - 8th Avenue Suite 210,Bend,#CAJUN.HTM#,97101,OR
Svensk Sjöföda AB,Sweden,17,08-123 45 67,Sales Representative,Michael Björn,(02) 555-4873,Brovallavägen 231,Stockholm,#CAJUN.HTM#,S-123 45,Québec
Aux joyeux ecclésiastiques,France,18,(1) 03.83.00.68,Sales Manager,Guylène Nodier,(1) 03.83.00.62,"203, Rue des Francs-Bourgeois",Paris,#CAJUN.HTM#,75004,Québec
New England Seafood Cannery,USA,19,(617) 555-3267,Wholesale Account Agent,Robb Merchant,(617) 555-3389,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,#CAJUN.HTM#,02134,MA
