postal_code,company_name,country,supplier_id,phone,contact_title,contact_name,fax,address,city,homepage,region
EC1 4SD,Exotic Liquids,UK,1,(171) 555-2222,Purchasing Manager,Charlotte Cooper,(02) 555-4873,49 Gilbert St.,London,#CAJUN.HTM#,Québec
70117,New Orleans Cajun Delights,USA,2,(100) 555-4822,Order Administrator,Shelley Burke,(02) 555-4873,P.O. Box 78934,New Orleans,#CAJUN.HTM#,LA
48104,Grandma Kelly's Homestead,USA,3,(313) 555-5735,Sales Representative,Regina Murphy,(313) 555-3349,707 Oxford Rd.,Ann Arbor,#CAJUN.HTM#,MI
100,Tokyo Traders,Japan,4,(03) 3555-5011,Marketing Manager,Yoshi Nagase,(02) 555-4873,9-8 Sekimai Musashino-shi,Tokyo,#CAJUN.HTM#,Québec
33007,Cooperativa de Quesos 'Las Cabras',Spain,5,(98) 598 76 54,Export Administrator,Antonio del Valle Saavedra,(02) 555-4873,Calle del Rosal 4,Oviedo,#CAJUN.HTM#,Asturias
545,Mayumi's,Japan,6,(06) 431-7877,Marketing Representative,Mayumi Ohno,(02) 555-4873,92 Setsuko Chuo-ku,Osaka,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#,Québec
3058,"Pavlova, Ltd.",Australia,7,(03) 444-2343,Marketing Manager,Ian Devling,(03) 444-6588,74 Rose St. Moonie Ponds,Melbourne,#CAJUN.HTM#,Victoria
M14 GSD,"Specialty Biscuits, Ltd.",UK,8,(161) 555-4448,Sales Representative,Peter Wilson,(02) 555-4873,29 King's Way,Manchester,#CAJUN.HTM#,Québec
S-345 67,PB Knäckebröd AB,Sweden,9,031-987 65 43,Sales Agent,Lars Peterson,031-987 65 91,Kaloadagatan 13,Göteborg,#CAJUN.HTM#,Québec
5442,Refrescos Americanas LTDA,Brazil,10,(11) 555 4640,Marketing Manager,Carlos Diaz,(02) 555-4873,Av. das Americanas 12.890,Sao Paulo,#CAJUN.HTM#,Québec
10785,Heli Süßwaren GmbH & Co. KG,Germany,11,(010) 9984510,Sales Manager,Petra Winkler,(02) 555-4873,Tiergartenstraße 5,Berlin,#CAJUN.HTM#,Québec
60439,Plutzer Lebensmittelgroßmärkte AG,Germany,12,(069) 992755,International Marketing Mgr.,Martin Bein,(02) 555-4873,Bogenallee 51,Frankfurt,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Québec
