territory_description,region_id
Westboro,1
Bedford,1
Georgetow,1
Boston,1
Cambridge,1
Braintree,1
Providence,1
Hollis,3
Portsmouth,3
Wilton,1
Morristown,1
Edison,1
New York,1
Mellvile,1
Fairport,1
Philadelphia,3
Neward,1
Rockville,1
Greensboro,1
Cary,1
Columbia,4
Atlanta,4
Savannah,4
Orlando,4
Tampa,4
Louisville,1
Beachwood,3
Findlay,3
Southfield,3
Troy,3
Bloomfield Hills,3
Racine,3
Roseville,3
Minneapolis,3
Hoffman Estates,2
Chicago,2
Bentonville,4
Dallas,4
Austin,4
Denver,2
Colorado Springs,2
Phoenix,2
Scottsdale,2
Santa Monica,2
Menlo Park,2
San Francisco,2
Campbell,2
Santa Clara,2
Santa Cruz,2
Bellevue,2
Redmond,2
Seattle,2
